physical,mental,interactional,social,interactive,intended,transitive
0093:続ける,1,1,1,1,0,1,1
0095:答える*,1,1,1,1,1,1,1
0097:話す,1,1,1,1,1,1,1
0098:使用する,1,1,1,1,1,1,1
0102:守る,1,1,1,1,1,1,1
0110:探す*,0,1,1,1,0,1,1
0111:伝える,1,1,1,1,1,1,1
0112:調べる,1,1,1,1,0,1,1
0121:生じる,1,1,1,0,0,1,0
0123:紹介する,1,1,1,1,1,1,1
0124:信じる,0,1,1,1,1,1,1
0126:確認する,1,1,1,1,1,1,1
0128:語る,1,1,1,1,1,1,1
0131:殺す,1,1,1,1,1,1,1
0134:売る,1,1,1,1,1,1,1
0135:説明する,1,1,1,1,1,1,1
0143:座る,1,1,1,0,0,1,0
0144:驚く,1,1,1,0,0,1,1
0145:聞こえる,1,1,1,1,1,1,1
0147:楽しむ,0,1,1,0,0,1,1
0151:参加する,1,1,1,1,1,1,1
0155:繰り返す,1,1,1,1,1,1,1
0162:着る,1,1,1,1,0,1,1
0164:表示する,1,1,1,1,1,1,1
0167:対応する,1,1,1,1,1,1,1
0168:係る,1,1,1,1,0,1,1
0171:迎える,1,1,1,1,1,1,1
0174:並ぶ,1,1,1,1,1,1,1
0175:つながる,1,1,1,1,1,1,0
0177:許す,1,1,1,1,1,1,1
0178:学ぶ,1,1,1,1,1,1,1
0179:頼む,1,1,1,1,1,1,1
0183:届く,1,1,1,1,1,0,0
0184:払う,1,1,1,1,1,1,1
0189:結婚する,1,1,1,1,1,1,1
0195:渡す,1,1,1,1,1,1,1
0197:近づく,1,1,1,1,1,1,1
0200:連れる,1,1,1,1,1,1,1
0202:有する,1,1,1,0,0,1,1
0203:集まる,1,1,1,1,1,1,1
0205:検討する,1,1,1,1,1,1,1
0206:知れる,1,1,1,1,1,0,0
0210:遊ぶ,1,1,1,1,1,1,0
0213:触れる,1,1,1,0,0,1,1
0214:通る,1,1,1,1,1,1,1
0216:貼る,1,1,1,1,1,1,1
0217:規定する,1,1,1,1,1,1,1
0219:避ける,1,1,1,1,1,1,1
0223:運ぶ,1,1,1,1,1,1,1
0224:果たす,1,1,1,1,1,1,1
0226:愛する,1,1,1,1,1,1,1
0227:従う,1,1,1,1,1,1,1
0235:期待する,1,1,1,1,1,1,1
0238:落とす,1,1,1,0,1,1,1
0240:提供する,1,1,1,1,1,1,1
0241:結ぶ,1,1,1,0,0,1,1
0245:渡る,1,1,1,1,0,1,1
0247:申す,1,1,1,1,1,1,1
0250:設ける,1,1,1,1,1,1,1
0252:逃げる,1,1,1,1,1,1,1
0254:居る,1,1,1,1,0,1,0
0255:隠す*,1,1,1,1,1,1,1
0258:降りる,1,1,1,0,0,1,1
0267:及ぶ,1,1,1,1,1,1,1
0268:訪れる,1,1,1,1,1,1,1
0279:発表する,1,1,1,1,1,1,1
0280:指摘する*,1,1,1,1,1,1,1
0284:抜ける,1,1,1,1,1,1,1
0290:登場する,1,1,1,1,1,0,0
0294:着く,1,1,1,1,0,1,1
0297:黙る*,1,1,1,1,1,1,1
0299:望む,1,1,1,1,1,1,1
0307:勝つ*,1,1,1,1,1,1,1
0309:負ける*,1,1,1,1,1,1,1
0312:提出する,1,1,1,1,1,1,1
0314:抜く,1,1,1,1,0,1,1
0325:通じる,1,1,1,1,1,1,0
0326:通う,1,1,1,1,1,1,1
0327:主張する,1,1,1,1,1,1,1
0334:重ねる,1,1,1,0,0,1,1
0336:慣れる,1,1,1,1,1,1,1
0344:下がる,1,0,1,0,0,0,0
0345:助ける,1,1,1,1,1,1,1
0347:伝わる*,1,1,1,1,1,1,0
0352:戻す,1,1,1,1,1,1,1
0358:比較する,1,1,1,1,1,1,1
0370:活用する,1,1,1,1,1,1,1
0374:眠る,1,1,1,1,1,1,0
0385:勧める,1,1,1,1,1,1,1
0388:狙う,1,1,1,1,1,1,1
0400:採用する,1,1,1,1,1,1,1
