physical,mental,interactional,social,interactive,intended,transitive
0431:行ける,0,1,0,0,0,0,0
0432:反映する,0,1,1,0,0,0,0
0435:確かめる,0,1,1,0,0,1,1
0439:移る,1,0,1,0,0,1,0
0441:寄せる,1,0,1,0,0,1,1
0445:無視する,0,1,1,1,1,0,1
0450:載る,1,1,1,1,1,1,0
0455:生み出す,1,0,0,0,0,0,1
0458:挟む,1,0,1,0,0,1,1
0461:嫌う,0,1,1,0,0,0,1
0470:襲う,1,0,1,0,0,1,1
0473:断る,0,1,1,1,1,1,1
0474:しかる,1,1,1,1,1,1,1
0475:削除する,0,1,1,1,0,1,1
0487:登る,1,0,1,0,0,1,0
0489:投げる,1,0,1,0,0,1,1
0497:否定する,0,1,1,1,1,1,1
0501:記する,1,1,1,1,1,1,1
0502:踏む,1,0,1,0,0,0,1
0503:煮る,1,0,1,0,0,1,1
0519:命じる,0,1,1,1,1,1,1
0523:促す,0,1,1,1,1,1,1
0540:表する,0,1,1,1,1,1,1
0542:引っ張る,1,0,1,0,0,1,1
0551:辞める,0,1,1,1,1,1,1
0552:努力する,0,1,0,0,0,1,0
0553:降る,1,0,1,0,0,0,0
0559:でき上がる,1,0,0,0,0,0,0
0562:こだわる,0,1,1,0,0,0,0
0566:吊る,1,0,1,0,0,1,1
0568:代表する,0,1,1,0,0,0,1
0569:撮影する,1,1,1,0,0,1,1
0570:作り出す,1,0,1,0,0,1,1
0574:失敗する,0,1,0,0,0,0,0
0586:関係する,0,1,1,0,0,1,0
0590:達成する,0,1,1,1,0,1,0
0591:講じる,0,1,1,1,1,1,0
0592:痩せる,1,0,0,0,0,1,0
0599:埋める,1,0,1,0,0,1,1
0601:隠れる,0,1,1,1,1,1,0
0604:あり得る,0,1,0,0,0,0,0
0605:壊れる,1,0,0,0,0,0,0
0612:強化する,0,1,1,0,0,1,1
0625:もらえる,0,1,1,0,0,0,0
0638:反対する,0,1,1,1,1,1,0
0650:燃える,1,0,0,0,0,0,0
0658:曲がる,1,0,0,0,0,0,0
0670:我慢する,0,1,1,1,1,1,0
0679:脱ぐ,1,0,1,0,0,1,1
0682:崩れる,1,0,0,0,0,0,0
0684:買える,0,1,1,0,0,0,0
0687:取り戻す,0,1,1,1,1,1,0
0698:欠く,0,1,0,0,0,0,0
0700:生える,1,0,0,0,0,0,0
0703:植える,1,0,1,0,0,1,1
0710:提案する,0,1,1,1,1,1,1
0711:影響する,1,0,1,0,0,0,0
0712:震える,1,0,0,0,0,0,0
0713:間違える,0,1,0,0,0,0,0
0714:獲得する,1,0,1,0,0,1,1
0718:浮く,1,0,1,0,0,0,0
0728:背負う,1,0,1,0,0,1,1
0734:欠ける,0,1,0,0,0,0,0
0737:絡む,1,0,1,0,0,0,0
0748:敷く,1,0,1,0,0,1,1
0755:犯す,0,1,1,1,1,0,1
0772:思い切る,0,1,1,0,0,1,0
0773:照らす,1,1,1,0,0,1,1
0774:諦める,0,1,1,0,0,1,0
0783:保護する,0,1,1,1,1,1,0
0788:体験する,0,1,1,0,0,0,1
0792:禁止する,0,1,1,1,1,1,0
0793:はまる,1,0,1,0,0,0,0
0794:務める,0,1,1,1,1,1,0
0801:温める,1,0,1,0,0,1,1
0805:引き受ける,0,1,1,1,1,1,1
0806:かなう,0,1,0,0,0,1,0
0807:直す,0,1,1,0,0,1,1
0813:なくす,1,1,1,0,0,0,1
0820:提示する,1,1,1,1,1,1,1
0821:論じる,0,1,1,1,1,1,1
0822:出席する,1,1,1,1,1,1,0
0832:入院する,1,0,1,1,1,0,0
0838:押し付ける,0,1,1,1,1,1,1
0842:傾ける,1,0,1,0,0,1,1
0845:位置する,1,0,0,0,0,0,0
0847:逃れる,1,1,1,1,0,1,0
0848:漏らす,1,0,1,0,0,0,1
0865:稼ぐ,0,1,1,1,1,1,1
0869:覗く,0,1,1,0,0,1,0
0870:向上する,0,1,1,0,0,0,0
0872:スタートする,1,0,0,0,0,0,0
0877:削る,1,0,1,0,0,1,1
0879:似合う,0,1,0,0,0,0,0
0886:承知する,0,1,1,1,1,1,0
0889:名づける,0,1,1,1,0,1,1
0893:誕生する,1,0,0,0,0,0,0
0900:振り向く,1,0,1,0,0,1,0
0905:納める,0,1,1,1,1,1,1
0908:鳴らす,1,0,1,0,0,1,1
0913:潰す,1,0,1,0,0,1,1
0919:放置する,1,0,1,1,1,1,1
0920:誇る,0,1,1,1,0,0,1
0921:整う,1,1,0,0,0,0,0
0922:好く,0,1,1,0,0,0,1
0924:余る,1,0,1,0,0,0,0
0925:生ずる,1,0,0,0,0,0,0
0929:下りる,1,0,0,0,0,0,0
0935:乾く,1,0,0,0,0,0,0
0939:飽きる,0,1,1,0,0,0,0
0940:悪化する,1,0,0,0,0,0,0
0946:廃止する,0,1,1,1,1,1,1
0949:応援する,0,1,1,1,1,1,1
0950:開放する,1,0,1,0,0,1,1
0951:機能する,0,1,1,0,0,0,0
0955:依存する*,0,1,1,0,0,0,0
0956:思い込む,0,1,0,0,0,0,0
0958:習う,0,1,1,1,1,1,1
0961:ずれる,1,0,1,0,0,0,0
0966:取り除く,1,0,1,1,0,1,1
0967:見回す,1,0,1,0,0,1,0
0971:準備する*,0,1,1,1,1,1,0
0975:仕掛ける,0,1,1,1,1,1,1
0980:支持する,0,1,1,1,1,1,1
0985:議論する,0,1,1,1,1,1,1
0988:挑戦する,0,1,1,1,1,1,0
0992:所有する,0,1,1,1,1,0,1
0996:遭う,0,1,0,0,0,0,0
0998:舞う,1,0,1,1,1,1,0
1001:振り込む,0,1,1,1,1,1,1
1005:曲げる,1,0,1,0,0,1,1
1006:捧げる,0,1,1,1,1,1,1
1010:囁く,1,1,1,1,1,1,0
1018:飲み込む,1,0,1,0,0,1,1
1021:ためらう,0,1,1,0,0,0,0
1025:普及する,0,1,1,1,0,0,0
1031:刺激する,1,1,1,0,0,0,1
1036:放送する,1,1,1,1,1,1,1
1048:継ぐ,0,1,1,1,1,1,0
1049:乗り出す,1,0,1,0,0,1,0
1055:冷やす,1,0,1,0,0,1,1
1063:見送る,1,0,1,1,1,1,1
1065:施行する,0,1,1,1,1,1,1
1067:駆けつける,1,0,1,1,1,1,0
1073:持ち出す,1,0,1,1,1,1,1
1074:鳴く,1,0,0,0,0,1,0
1077:供する,0,1,1,1,1,1,1
1079:争う,1,1,1,1,1,1,0
1083:どなる,1,1,1,1,1,1,0
1091:にらむ,0,1,1,1,1,1,1
1097:知り合う*,0,1,1,1,1,0,0
1098:定義する,0,1,1,1,1,1,1
1103:謝る,1,1,1,1,1,1,0
1105:妊娠する,1,1,1,1,1,0,0
1111:引用する,1,1,1,1,1,1,1
1116:締結する,0,1,1,1,1,1,1
1130:記す,1,1,1,1,1,1,1
1137:嫌がる*,0,1,1,0,0,0,1
1140:聞かす,1,1,1,1,1,1,1
1144:計画する,0,1,1,1,0,1,1
1146:感染する*,1,0,1,0,0,0,0
1148:携わる,0,1,1,1,1,1,0
